Car Names,Mileages,Ratings,Reviews,used/certified,Price
2021 Honda Pilot Special Edition,"132,179 mi.",4.0,(72 reviews),Used,"$41,987.00"
2019 Honda CR-V EX-L,"14,060 mi.",4.7,"(3,052 reviews)",Used,"$32,992.00"
2020 Acura TLX FWD,"19,238 mi.",4.7,(434 reviews),Acura Certified,"$32,990.00"
2020 Mercedes-Benz S-Class S 560,"16,076 mi.",4.7,"(1,288 reviews)",Mercedes-Benz Certified,"$76,990.00"
2018 BMW X3 xDrive30i,"24,370 mi.",4.8,"(1,662 reviews)",Used,"$39,995.00"
2014 Lexus IS 250 Base,"15,479 mi.",4.0,(60 reviews),Used,"$22,444.00"
2017 Tesla Model X 100D,"46,335 mi.",4.3,"(1,571 reviews)",Used,"$67,888.00"
2019 BMW X2 sDrive28i,"85,281 mi.",3.6,(12 reviews),Used,"$29,998.00"
2021 Lexus RX 350 Base,"45,999 mi.",4.7,"(1,997 reviews)",Used,"$50,488.00"
2019 Honda CR-V EX-L,"14,411 mi.",4.2,(762 reviews),Used,"$32,405.00"
